id,question,gold_answer,fixed_prediction,prediction,route,controller_score,fixed_f1,f1,fixed_context_tokens,context_tokens,f1_change
5a7fe7f85542994857a7683e,Genealogy is an Armenian supergroup that competed in a 2015 singing contest in what city?,"Vienna, Austria","Vienna, Austria","Genealogy competed in the Eurovision Song Contest 2015 in London, England.",top3,0.2096555382013321,1.0,0.0,661,331,-1.0
5ae12bcc5542997b2ef7d11a,Are Benjamin Britten and Béla Bartók from the same country?,no,No,"Yes, both Benjamin Britten and Béla Bartók were from England.",top3,0.029923871159553528,1.0,0.0,848,514,-1.0
5a879dae5542996e4f308885,What was the company that was co-owned by the person who Abbe error was named after?,Carl Zeiss AG,Carl Zeiss AG,Google,top3,0.39255252480506897,1.0,0.0,509,297,-1.0
5adcd5005542994d58a2f6f0,Who voices the character that stars in Baseball Bugs?,Mel Blanc,Mel Blanc,Bugs Bunny,top3,0.5084012746810913,1.0,0.0,581,347,-1.0
5adf4ba65542992d7e9f931c,Which 9th longest-running musical in Broadway history was the 30th Disney animated feature film?,Beauty and the Beast,Beauty and the Beast,"""The Wiz""",top3,0.6157242059707642,1.0,0.0,913,617,-1.0
5a7bf84b5542996dd594b875,What Danish drama thriller which takes place in both Denmark and Africa was produced by Sisse Graum Jørgensen?,In a Better World,In a Better World,Worlds Apart,top3,0.4108726680278778,1.0,0.0,686,435,-1.0
5ade64c7554299728e26c710,Is Northeast Florida Regional Airport farther from St. Augustine than Glacier Park International Airport is to Kalispell?,no,No,Yes,top3,0.21300238370895386,1.0,0.0,518,255,-1.0
5a7f68365542994857a7672e,"Which band was formed at an earlier date, Unwritten Law or Jon Spencer Blues Explosion?",Unwritten Law,Unwritten Law,Jon Spencer Blues Explosion,top3,0.5847174525260925,1.0,0.0,528,342,-1.0
5a72830e5542994cef4bc2f9,"Where is the company that distributed XXXTentacion's single ""Revenge"" based?","San Francisco, California","San Francisco, California",Empire Distribution.,top3,0.5254225134849548,1.0,0.0,614,379,-1.0
5a81a84e5542990a1d231e4e,What year was the Argentine singer and actor who both directed and starred in El Tio Disparate born?,1942,1942,1936,top3,0.41166234016418457,1.0,0.0,520,160,-1.0
5adf72335542992d7e9f935f,Mehdi Hashemi was thought to be guilty of opposition to the Iranian regime's dealings during what President's administration?,Reagan,Reagan,Akbar Hashemi Rafsanjani's,top3,0.5727415680885315,1.0,0.0,637,308,-1.0
5ab83e1a55429919ba4e2280,What game where a play must act as a night security guard was a new intellectual property released in 2014?,Five Nights at Freddy's,Five Nights at Freddy's,Watch Dogs,top3,0.2073589414358139,1.0,0.0,1055,474,-1.0
5a7415cf55429979e28828a6,When did the person who claimed that Fidel Castro was killed in the 26th July Movement but was proven wrong by Herbert Matthews first serve as President of Cuba?,1940,1940,1959,top3,0.2928941249847412,1.0,0.0,938,519,-1.0
