id,question,gold_answer,prediction,exact_match,f1,context_tokens,total_time_ms
5adc1af75542994650320c75,"In which year was this single by Cher, written by  Brian Higgins and included in the album The Very Best of Cher, released?",1998,1998,1.0,1.0,744,441.766184999949
5a866fa855429960ec39b6a5,Ella Purnell appeared in this 2014 film loosely based on what fairy tale?,"""Sleeping Beauty""","Ella Purnell appeared in ""Maleficent,"" which is loosely based on the fairy tale ""Maleficent.""",0.0,0.0,677,1064.5932539999876
5ae7954b554299540e5a5620,Who manufactured the scooter upon which the Bajaj Priya was based off of?,Piaggio,Vespa,0.0,0.0,355,207.2744269999589
5a89432b554299669944a519,What was the code name of the campaign where Joe Foss received a Medal of Honor?,Operation Watchtower,Guadalcanal Campaign,0.0,0.0,696,366.7273280000245
5ae1467a554299422ee99659,Rebecca M. Bergman is the President of a college affliated with what church?,Evangelical Lutheran Church,Seventh-day Adventist Church,0.0,0.28571428571428575,643,418.45526999992444
5a79305755429907847277dd,What prince is a claimant to the former throne of Italy and born in September 1943?,Prince Amedeo,"Prince Amedeo, Duke of Aosta",0.0,0.5714285714285715,939,584.0993219999859
5ac2c338554299657fa29039,How many personnel does the Navy that had Gilliam-class atttack transports have on active duty?,"322,421 personnel on active duty","107,577",0.0,0.0,720,461.6099730000087
5abc184a5542993a06baf863,Who directed the 2015 South Korean drama film starring Hwang Jung-min?,Lee Seok-hoon,"Lee Seok-hoon directed the 2015 South Korean drama film starring Hwang Jung-min titled ""The Himalayas"".",0.0,0.33333333333333337,503,1080.8399140000233
5ae5f82a554299546bf82feb,Who wrote the 2009 American home invasion horror film which Andrea Roth was known for her role in ,Marcus Dunstan,Marcus Dunstan and Patrick Melton,0.0,0.5714285714285715,614,423.73907999996163
5adf5daf5542995534e8c79d,Are Darren Benjamin Shepherd and Rémi Lange both American?,no,"No, Darren Benjamin Shepherd is not American, while Rémi Lange is French.",0.0,0.14285714285714288,550,717.6978310000095
5ae09b7055429906c02daae4,How did the singer of Pyramid rise to fame?,YouTube,"Jake Zyrus, who performed as Charice before transitioning, gained fame through his hit single ""Pyramid,"" which became his first number-one single in the United States. The song was part of his debut album and featured collaborations with international artists like Iyaz.",0.0,0.0,812,2106.6424360000156
5a7d598d5542995f4f402262,"Which director was also a film editor, Burton L. King or Maheen Zia?",Maheen Zia,Maheen Zia,1.0,1.0,643,353.4628459999567
5abb01025542992ccd8e7eab,Who supervised the sting operation that implicated Evelyn Dawn Knight?,Federal Bureau of Investigation,"Assistant Director Neil J. Welch, who headed the bureau's New York division, and Thomas P. Puccio, head of the Justice Department's Organized Crime Strike Force for the Eastern District of New York.",0.0,0.1142857142857143,731,1724.0243140000189
5ac3e0f7554299194317388b,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,Kevin Spacey,1.0,1.0,634,287.7427969999644
5a710a1e5542994082a3e4fd,"What is the genus of the viral disease that has symptoms such as fever, chills, loss of appetite, nausea, muscle pains, and headaches, and has a chance of causing liver damage?",Flavivirus,Flavivirus,1.0,1.0,654,300.0484070000198
5ab29cef554299449642c936,In which year was the University where Joost Alois Businger is an emeritus professor established ?,1861,1964,0.0,0.0,496,287.04700099996217
5ae26cb15542994d89d5b421,Charlie McDermott plays Axl Heck on a tv show that premiered in what date? ,"September 30, 2009","June 8, 2013",0.0,0.0,657,504.82194200003505
